mutation,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming
mutation_109,passing,0.953355,0.887850,0.888889,0.963855,0.927711,0.924051,0.946237,0.950617,0.950617,0.954545,0.966942,0.973451,0.974790,0.971429,0.971429,0.971429,0.972477,0.972477,0.972477,0.972477
mutation_110,passing,0.943543,0.850467,0.851852,0.926829,0.878049,0.898734,0.946237,0.950617,0.950617,0.954545,0.966942,0.973451,0.974790,0.971429,0.971429,0.971429,0.972477,0.972477,0.972477,0.972477
mutation_111,passing,0.977006,0.866071,0.875000,0.963855,0.939759,0.950000,0.968421,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_112,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_113,failing,0.998050,1.000000,1.000000,1.000000,0.975610,0.987342,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_114,passing,0.996230,1.000000,0.990741,0.987805,0.987805,0.962025,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_116,passing,0.986059,0.990654,0.981481,0.975610,0.975610,0.949367,0.989247,0.987654,0.987654,0.988636,0.991736,0.991150,0.991597,0.990476,0.990476,0.990476,0.990826,0.990826,0.990826,0.990826
mutation_117,passing,0.191771,0.364486,0.203704,0.231707,0.207317,0.151899,0.150538,0.185185,0.185185,0.193182,0.198347,0.212389,0.184874,0.171429,0.171429,0.171429,0.165138,0.165138,0.165138,0.165138
mutation_118,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_119,passing,0.604518,0.719626,0.731481,0.792683,0.792683,0.797468,0.806452,0.802469,0.802469,0.806818,0.859504,0.858407,0.386555,0.323810,0.323810,0.323810,0.339450,0.339450,0.339450,0.339450
mutation_120,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
